Species,Number,Site,date collected,complete increments,O/T,Age,D1 (mm) (to edge),D2 (mm),D3 (mm),otolith measurement check & comments,initial oto reader (initials),checker (initials),SL (mm),FL (mm),TL (mm),whole Body mass (g),gonad mass (g),somatic mass (g),Predicted TL 2022,Predicted TL 2021,Predicted Somatic Mass (g) 2022,Predicted Somatic Mass (g) 2021,Predicted growth 2021-2022 (g)
OXCA,2022-OXCA-BK-095,BK,8/10/22,2,T,3,1.404,1.404,1.317,"yes, MAS altered",AV,,155,.,185,50.4,3.94,46.5,189,180,57,49,8
OXCA,2022-OXCA-BK-096,BK,8/10/22,3,T,4,1.505,1.505,1.444,"yes, MAS altered",AV,,167,.,198,62.8,3.84,59,199,193,67.5,61,6.4
OXCA,2022-OXCA-BK-097,BK,8/10/22,3,T,4,1.521,1.521,1.456,"yes, MAS altered",AV,,170,.,200,70.9,3.2,67.7,201,194,69.2,62.3,7
OXCA,2022-OXCA-BK-098,BK,8/10/22,4,O,4,1.52,1.45,1.279,"yes, MAS",AV,,181,.,213,81,4.02,77,193,176,61.6,45.7,15.9
OXCA,2022-OXCA-BK-099,BK,8/10/22,3,T,4,1.625,1.625,1.547,"yes, MAS altered",AV,,167,.,198,64.2,3.18,61,211,203,81.4,72.2,9.3
OXCA,2022-OXCA-BK-100,BK,8/10/22,5,O,5,1.597,1.563,1.443,"yes, MAS altered",AV,,190,.,225,100,5.35,94.7,205,193,74,60.9,13.1
OXCA,2022-OXCA-BK-101,BK,8/10/22,5,T,6,1.763,1.763,1.655,"yes, MAS altered",AV,,197,.,231,106,4.56,101.4,226,214,99.8,85.2,14.6
OXCA,2022-OXCA-BK-102,BK,8/10/22,5,T,6,1.876,1.876,1.794,"yes, MAS altered",AV,,193,.,228,121.1,5.49,115.6,237,229,116.8,104.3,12.5
OXCA,2022-OXCA-BK-103,BK,8/10/22,2,O,2,1.28,1.239,1.148,"yes, MAS altered",AV,,134,.,159,32.2,1.71,30.5,172,162,42.5,35.6,6.8
OXCA,2022-OXCA-BK-104,BK,8/10/22,4,O,4,1.756,1.682,1.559,"yes, MAS altered",AV,,198,.,232,120.2,4.51,115.7,217,205,88.7,73.5,15.2
OXCA,2022-OXCA-BK-105,BK,8/10/22,5,O,5,1.569,1.528,1.466,"yes, MAS altered",AV,,167,.,198,64.4,3.27,61.1,201,195,70,63.3,6.7
OXCA,2022-OXCA-BK-106,BK,8/10/22,5,O,5,,,,"don’t use, deformed",AV,,183,.,217,80.1,3.59,76.5,,0,,,
OXCA,2022-OXCA-BK-107,BK,8/17/22,4,O,4,1.708,1.691,1.602,"yes, MAS",AV,,192,.,229,97.1,6.41,90.7,218,209,89.9,78.6,11.3
