Species,Number,Site,date collected,complete increments,O/T,Age,D1 (mm) (to edge),D2 (mm),D3 (mm),otolith measurement check & comments,initial oto reader (initials),checker (initials),SL (mm),FL (mm),TL (mm),whole Body mass (g),gonad mass (g),somatic mass (g),Predicted TL 2022,Predicted TL 2021,Predicted Somatic Mass (g) 2022,Predicted Somatic Mass (g) 2021,Predicted growth 2021-2022 (g),,
EMJA,2022-EMJA-BK-079,BK,8/30/22,1,T,1,3.022,2.277,0.000,"yes, MAS altered",RJ,,141,164,180,108.3,1.18,107.12,115,0,28.9,0.0,28.9,,
EMJA,2022-EMJA-BK-080,BK,8/30/22,2,O,1,3.443,2.777,0.000,"yes, MAS altered",RJ,,153,179,197,160.5,2.57,157.93,146,0,59.5,0.0,59.5,,
EMJA,2022-EMJA-BK-081,BK,8/30/22,2,O,1,3.288,2.519,0.000,"yes, MAS altered",RJ,,147,170,190,125.5,1.76,123.74,130,0,41.9,0.0,41.9,,
EMJA,2022-EMJA-BK-082,BK,8/30/22,0,O,0,2.649,0.000,0.000,"don't use, YOY",MAS,,100,121,133,46.8,0.13,46.67,,0,,,,,
EMJA,2022-EMJA-BK-083,BK,8/30/22,0,O,0,2.501,0.000,0.000,"don't use, YOY",MAS,,96,114,125,39.4,0.01,39.39,,0,,,,,
EMJA,2022-EMJA-BK-084,BK,8/30/22,2,O,1,3.502,2.891,0.000,"yes, MAS altered",RJ,,152,179,193,149.0,2.54,146.46,153,0,68.7,0.0,68.7,,
EMJA,2022-EMJA-BK-085,BK,8/30/22,1,T,1,3.203,2.541,0.000,"yes, MAS altered",RJ,,140,165,183,121.1,0.18,120.92,131,0,43.2,0.0,43.2,,
EMJA,2022-EMJA-BK-086,BK,8/30/22,0,O,0,2.751,0.000,0.000,"don't use, YOY",MAS,,108,126,139,51.6,0.03,51.57,,0,,,,,
EMJA,2022-EMJA-BK-087,BK,9/13/22,3,O,2,3.990,3.472,2.877,"yes, MAS altered",RJ,,174,207,228,227.3,3.12,224.18,189,152,130.8,67.6,63.2,,
EMJA,2022-EMJA-BK-088,BK,9/13/22,1,O,1,3.541,2.777,0.000,"yes, MAS altered",RJ,,149,176,195,144.8,1.28,143.52,146,0,59.5,0.0,59.5,,
EMJA,2022-EMJA-BK-089,BK,9/13/22,2,O,1,3.607,2.893,0.000,"yes, MAS altered",RJ,,159,186,206,180.9,3.08,177.82,153,0,68.9,0.0,68.9,,
EMJA,2022-EMJA-BK-090,BK,9/13/22,2,O,1,3.212,2.428,0.000,"yes, MAS altered",RJ,,139,163,179,112.0,0.07,111.93,125,0,36.6,0.0,36.6,,
EMJA,2022-EMJA-BK-091,BK,9/13/22,1,T,1,3.537,3.039,0.000,"yes, MAS altered",RJ,,145,172,189,139.3,2.32,136.98,162,0,82.1,0.0,82.1,,
EMJA,2022-EMJA-BK-092,BK,9/13/22,2,O,1,3.579,3.004,0.000,"yes, MAS altered",RJ,,156,185,206,169.2,2.40,166.80,160,0,78.8,0.0,78.8,,
EMJA,2022-EMJA-BK-093,BK,9/13/22,3,T,4,3.995,3.520,3.520,"don't use, poor structure",RJ,,185,218,238,266.3,0.36,265.94,,,,,,,
EMJA,2022-EMJA-BK-094,BK,9/13/22,2,T,1,3.503,2.972,0.000,"yes, MAS altered",RJ,,152,179,198,158.0,1.33,156.67,158,0,75.8,0.0,75.8,,
EMJA,2022-EMJA-BK-095,BK,9/13/22,2,O,1,3.441,2.775,0.000,"yes, MAS altered",RJ,,143,168,184,115.2,1.17,114.03,146,0,59.4,0.0,59.4,,
EMJA,2022-EMJA-BK-096,BK,9/13/22,2,O,1,3.517,2.882,0.000,"yes, MAS altered",RJ,,166,195,212,180.8,3.06,177.74,152,0,68.0,0.0,68.0,,
EMJA,2022-EMJA-BK-097,BK,9/27/22,2,O,1,3.508,2.912,0.000,"yes, MAS altered",RJ,,173,199,220,194.3,3.16,191.14,154,0,70.5,0.0,70.5,,
EMJA,2022-EMJA-BK-098,BK,9/27/22,2,O,1,3.661,3.131,0.000,"yes, MAS altered",RJ,,163,186,204,157.5,0.32,157.18,168,0,91.2,0.0,91.2,,
EMJA,2022-EMJA-BK-099,BK,9/27/22,2,O,1,3.762,3.063,0.000,"yes, MAS altered",RJ,,167,196,215,175.6,1.77,173.83,164,0,84.4,0.0,84.4,,
EMJA,2022-EMJA-BK-100,BK,9/27/22,2,O,1,3.496,2.728,0.000,"yes, MAS altered",RJ,,147,170,185,123.6,1.66,121.94,143,0,55.9,0.0,55.9,,
EMJA,2022-EMJA-BK-101,BK,9/27/22,0,T,0,2.402,0.000,0.000,"don't use, YOY",MAS,,109,125,133,47.4,0.39,47.01,,0,,,,,
EMJA,2022-EMJA-BK-102,BK,9/27/22,2,O,1,3.652,3.011,0.000,"yes, MAS altered",RJ,,151,173,190,132.3,0.08,132.22,160,0,79.4,0.0,79.4,,
EMJA,2022-EMJA-SMK-001,SMK,5/26/22,1,O,1,3.121,2.903,0.000,"yes, MAS",RJ,,125,144,158,71.9,0.02,71.88,154,0,69.8,0.0,69.8,,
EMJA,2022-EMJA-SMK-002,SMK,5/26/22,1,O,1,3.421,3.073,0.000,"yes, MAS",RJ,,142,165,183,124.1,0.02,124.08,164,0,85.4,0.0,85.4,,
EMJA,2022-EMJA-SMK-003,SMK,5/26/22,1,O,1,3.333,3.075,0.000,"yes, MAS",RJ,,133,156,172,95.7,0.05,95.65,164,0,85.6,0.0,85.6,,
EMJA,2022-EMJA-SMK-004,SMK,5/26/22,1,O,1,3.386,3.086,0.000,"yes, MAS",RJ,,141,163,181,110.2,0.04,110.16,165,0,86.6,0.0,86.6,,
EMJA,2022-EMJA-SMK-005,SMK,5/26/22,5,O,5,4.059,3.956,3.757,"yes, MAS",MAS,,183,210,235,263.9,0.08,263.82,218,206,204.9,171.7,33.2,,
EMJA,2022-EMJA-SMK-006,SMK,5/26/22,1,O,1,3.529,3.176,0.000,"yes, MAS",RJ,,140,165,182,112.8,0.05,112.75,170,0,95.9,0.0,95.9,,
EMJA,2022-EMJA-SMK-007,SMK,5/26/22,2,O,2,3.618,3.297,2.607,"yes, MAS altered",RJ,,157,185,205,170.6,0.09,170.51,178,136,109.3,47.4,61.8,,
EMJA,2022-EMJA-SMK-008,SMK,5/26/22,4,O,4,4.012,3.843,3.531,"yes, MAS",MAS,,172,197,218,228.5,0.11,228.39,211,192,185.6,138.7,46.9,,
EMJA,2022-EMJA-SMK-009,SMK,5/26/22,1,O,1,3.403,2.989,0.000,"yes, MAS",RJ,,134,157,172,94.8,0.04,94.76,159,0,77.4,0.0,77.4,,
EMJA,2022-EMJA-SMK-010,SMK,5/26/22,1,O,1,3.312,2.862,0.000,"yes, MAS",RJ,,142,164,182,114.6,0.04,114.56,151,0,66.3,0.0,66.3,,
EMJA,2022-EMJA-SMK-011,SMK,5/26/22,4,O,4,4.185,4.070,3.789,"yes, MAS",RJ,,177,200,224,239.0,0.11,238.89,225,208,225.7,176.8,48.9,,
EMJA,2022-EMJA-SMK-012,SMK,5/26/22,1,O,1,3.273,2.948,0.000,"yes, MAS",RJ,,130,155,171,100.5,0.09,100.41,156,0,73.7,0.0,73.7,,
EMJA,2022-EMJA-SMK-013,SMK,5/26/22,1,O,1,3.313,2.970,0.000,"yes, MAS",RJ,,134,157,173,101.0,0.04,100.96,158,0,75.7,0.0,75.7,,
EMJA,2022-EMJA-SMK-014,SMK,5/26/22,1,O,1,3.286,3.063,0.000,"yes, MAS",RJ,,134,155,170,102.8,7.51,95.29,164,0,84.4,0.0,84.4,,
EMJA,2022-EMJA-SMK-015,SMK,5/26/22,3,T,4,3.791,3.791,3.441,"yes, MAS",MAS,,170,191,216,212.2,0.10,212.10,208,187,177.1,126.8,50.3,,
EMJA,2022-EMJA-SMK-016,SMK,5/26/22,1,O,1,3.420,3.024,0.000,"yes, MAS",RJ,,137,162,179,107.8,0.03,107.77,161,0,80.6,0.0,80.6,,
EMJA,2022-EMJA-SMK-017,SMK,5/26/22,1,O,1,3.474,3.110,0.000,"yes, MAS",RJ,,135,157,174,109.9,6.90,103.00,166,0,89.0,0.0,89.0,,
EMJA,2022-EMJA-SMK-018,SMK,5/26/22,2,O,2,3.670,3.535,2.726,"yes, MAS altered",RJ,,144,166,181,123.0,0.88,122.12,193,143,139.2,55.7,83.5,,
EMJA,2022-EMJA-SMK-019,SMK,5/26/22,2,O,2,3.910,3.719,3.084,"yes, MAS",MAS,,157,180,197,159.9,0.09,159.81,204,165,165.8,86.4,79.4,,
EMJA,2022-EMJA-SMK-020,SMK,5/26/22,3,O,3,3.543,3.452,3.061,"yes, MAS",MAS,,170,195,218,202.7,0.06,202.64,187,163,128.2,84.2,44.0,,
EMJA,2022-EMJA-SMK-021,SMK,6/7/22,1,O,1,2.908,2.335,0.000,"yes, MAS",RJ,,118,139,152,65.5,0.01,65.49,119,0,31.7,0.0,31.7,,
EMJA,2022-EMJA-SMK-022,SMK,6/7/22,1,O,1,3.647,3.264,0.000,"yes, MAS",RJ,,145,169,184,128.6,0.08,128.52,176,0,105.5,0.0,105.5,,
EMJA,2022-EMJA-SMK-023,SMK,6/7/22,0,O,0,2.214,0.000,0.000,"don't use, YOY",RJ,,87,101,110,23.4,0.03,23.37,,0,,,,,
EMJA,2022-EMJA-SMK-024,SMK,6/7/22,1,O,1,3.655,3.268,0.000,"yes, MAS",RJ,,146,172,189,134.7,0.16,134.54,176,0,105.9,0.0,105.9,,
EMJA,2022-EMJA-SMK-025,SMK,6/7/22,1,O,1,3.156,2.760,0.000,"yes, MAS",RJ,,134,157,173,99.9,0.09,99.81,145,0,58.2,0.0,58.2,,
EMJA,2022-EMJA-SMK-026,SMK,6/7/22,1,O,1,3.444,2.945,0.000,"yes, MAS",RJ,,148,173,190,130.2,0.02,130.18,156,0,73.4,0.0,73.4,,
EMJA,2022-EMJA-SMK-027,SMK,6/7/22,1,O,1,3.391,3.070,0.000,"yes, MAS",RJ,,141,167,181,110.9,0.07,110.83,164,0,85.1,0.0,85.1,,
EMJA,2022-EMJA-SMK-028,SMK,6/7/22,1,O,1,3.507,3.023,0.000,"yes, MAS",RJ,,135,162,177,112.5,0.12,112.38,161,0,80.6,0.0,80.6,,
EMJA,2022-EMJA-SMK-029,SMK,6/7/22,1,O,1,3.239,2.912,0.000,"yes, MAS",RJ,,142,169,185,137.9,18.14,119.76,154,0,70.5,0.0,70.5,,
EMJA,2022-EMJA-SMK-030,SMK,6/7/22,1,O,1,3.330,2.957,0.000,"yes, MAS",RJ,,144,170,186,117.9,0.15,117.75,157,0,74.5,0.0,74.5,,
EMJA,2022-EMJA-SMK-031,SMK,6/7/22,2,O,2,3.885,3.465,2.739,"yes, MAS altered",RJ,,175,204,225,223.1,0.92,222.18,188,144,129.9,56.7,73.2,,
EMJA,2022-EMJA-SMK-032,SMK,6/7/22,1,O,1,3.049,2.630,0.000,"yes, MAS",RJ,,129,154,169,92.7,0.09,92.61,137,0,49.0,0.0,49.0,,
EMJA,2022-EMJA-SMK-033,SMK,6/7/22,2,O,2,3.661,3.417,2.609,"yes, MAS",RJ,,156,185,205,169.0,0.12,168.88,185,136,123.7,47.6,76.2,,
EMJA,2022-EMJA-SMK-034,SMK,6/7/22,1,O,1,3.507,3.207,0.000,"yes, MAS",RJ,,144,170,189,127.0,0.07,126.93,172,0,99.2,0.0,99.2,,
EMJA,2022-EMJA-SMK-035,SMK,6/7/22,1,O,1,3.488,3.177,0.000,"yes, MAS",RJ,,145,171,186,128.8,0.12,128.68,171,0,96.0,0.0,96.0,,
EMJA,2022-EMJA-SMK-036,SMK,7/8/22,0,O,0,2.398,0.000,0.000,"don't use, YOY",RJ,,91,112,120,32.6,0.01,32.59,,0,,,,,
EMJA,2022-EMJA-SMK-037,SMK,7/8/22,0,O,0,2.191,0.000,0.000,"don't use, YOY",RJ,,84,103,110,24.9,0.02,24.88,,0,,,,,
