Species,Number,Site,date collected,complete increments,O/T,Age,D1 (mm) (to edge),D2 (mm),D3 (mm),otolith measurement check & comments,initial oto reader (initials),checker (initials),SL (mm),FL (mm),TL (mm),whole Body mass (g),gonad mass (g),somatic mass (g),Predicted TL 2022,Predicted TL 2021,Predicted Somatic Mass (g) 2022,Predicted Somatic Mass (g) 2021,Predicted growth 2021-2022 (g),,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-048,BK,7/7/22,7,T,8,5.327,5.327,5.193,"yes, MAS altered",KR,MAS,262,313,328,454.2,29.68,424.5,333,324,450.7,414.0,36.7,,,,,,,,,,,,,,,,,4.492,4.600,,,,,,,,,
PACL,2022-PACL-BK-049,BK,7/7/22,5,T,6,5.333,5.333,5.059,"yes, MAS altered",KR,MAS,236,282,295,313.3,15.56,297.7,334,315,452.4,379.4,73.0,,,,,,,,,,,,,,,,,4.962,4.984,,,,,,,,,
PACL,2022-PACL-BK-050,BK,7/7/22,4,T,5,4.691,4.691,4.332,"yes, MAS altered",KR,MAS,218,261,270,253.7,11.49,242.2,291,267,294.5,225.2,69.4,,,,,,,,,,,,,,,,,4.916,4.964,,,,,,,,,
PACL,2022-PACL-BK-051,BK,7/7/22,5,T,6,4.780,4.780,4.553,"yes, MAS altered",KR,MAS,248,296,310,371.4,24.47,346.9,297,282,313.7,266.4,47.4,,,,,,,,,,,,,,,,,5.970,5.988,,,,,,,,,
PACL,2022-PACL-BK-052,BK,7/7/22,7,T,8,5.171,5.171,4.970,"yes, MAS altered",KR,MAS,240,289,301,390.6,23.20,367.4,323,309,408.2,357.5,50.6,,,,,,,,,,,,,,,,,5.091,5.086,,,,,,,,,
PACL,2022-PACL-BK-053,BK,7/7/22,5,T,6,5.102,5.102,4.866,"yes, MAS altered",KR,MAS,235,282,293,305.1,16.93,288.2,318,303,390.3,333.1,57.2,,,,,,,,,,,,,,,,,5.221,5.291,,,,,,,,,
PACL,2022-PACL-BK-054,BK,7/7/22,7,O,7,4.890,4.761,4.295,"yes, MAS altered",KR,MAS,269,318,330,407.5,17.17,390.3,295,264,309.6,218.7,90.9,,,,,,,,,,,,,,,,,4.677,4.776,,,,,,,,,
PACL,2022-PACL-BK-055,BK,7/7/22,4,T,5,4.692,4.692,4.382,"yes, MAS altered",KR,MAS,220,264,275,244.7,1.26,243.4,291,270,294.8,234.1,60.7,,,,,,,,,,,,,,,,,5.335,5.399,,,,,,,,,
PACL,2022-PACL-BK-056,BK,7/7/22,8,T,9,5.938,5.938,5.304,"yes, MAS altered",KR,MAS,298,359,365,694.3,31.40,662.9,374,332,646.1,444.2,201.8,,,,,,,,,,,,,,,,,5.170,5.228,,,,,,,,,
PACL,2022-PACL-BK-057,BK,7/7/22,3,O,3,3.192,3.007,2.634,"yes, MAS altered",KR,MAS,152,184,190,75.6,0.06,75.5,178,153,63.9,39.9,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-058,BK,7/20/22,5,T,6,5.253,5.253,4.894,"yes, MAS altered",KR,MAS,235,287,296,369.6,21.89,347.7,328,304,430.2,339.6,90.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-059,BK,7/20/22,5,T,6,5.244,5.244,5.011,"yes, MAS altered",KR,MAS,253,311,323,451.6,25.36,426.2,328,312,427.7,367.5,60.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-060,BK,7/20/22,4,T,5,4.681,4.681,4.159,"yes, MAS altered",KR,MAS,223,271,282,251.7,7.80,243.9,290,255,292.4,196.1,96.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-061,BK,7/20/22,5,T,6,4.991,4.991,4.725,"yes, MAS altered",KR,MAS,255,307,318,422.3,26.70,395.6,311,293,362.6,301.8,60.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-062,BK,7/20/22,5,T,6,4.950,4.950,4.655,"yes, MAS altered",KR,MAS,223,269,279,260.8,14.21,246.6,308,288,352.7,287.0,65.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-063,BK,7/20/22,,,,,,,"don't use, poor structure",KR,MAS,368,437,464,1314.4,89.15,1225.3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-064,BK,7/20/22,6,O,6,5.529,5.392,4.826,"yes, MAS altered",KR,MAS,254,306,323,435.0,30.79,404.2,338,300,469.2,324.0,145.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-065,BK,7/20/22,4,T,5,4.437,4.437,3.821,"yes, MAS altered",KR,MAS,222,267,277,272.8,20.41,252.4,274,232,244.2,146.9,97.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-066,BK,7/20/22,4,O,4,4.885,4.903,4.793,"don't use, deformed",KR,MAS,218,265,277,298.6,8.97,289.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-067,BK,7/20/22,5,T,6,4.641,4.641,4.453,"yes, MAS altered",KR,MAS,213,258,267,287.6,26.28,261.3,287,275,284.1,247.2,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-068,BK,7/20/22,5,T,6,5.211,5.211,4.870,"yes, MAS altered",KR,MAS,250,300,314,416.1,30.88,385.2,326,303,418.8,334.0,84.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-069,BK,7/20/22,5,O,5,5.025,4.760,4.223,"yes, MAS altered",KR,MAS,222,265,275,261.2,16.29,244.9,295,259,309.4,206.5,102.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-070,BK,7/20/22,5,O,5,5.182,5.029,4.780,"yes, MAS altered",KR,MAS,276,332,344,523.1,30.54,492.6,313,297,371.9,313.7,58.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-071,BK,7/20/22,4,T,5,4.887,4.887,4.554,"yes, MAS altered",KR,MAS,236,284,296,327.4,17.30,310.1,304,282,337.9,266.6,71.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-072,BK,7/20/22,,,,,,,"don't use, no otoliths",KR,MAS,256,306,323,450.4,21.19,429.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-073,BK,7/20/22,6,T,7,4.763,4.763,4.445,"yes, MAS altered",KR,MAS,233,277,290,322.9,24.52,298.4,296,274,310.0,245.7,64.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-074,BK,7/20/22,8,T,9,5.109,5.109,5.006,"yes, MAS altered",KR,MAS,255,305,315,401.4,21.60,379.8,319,312,392.1,366.3,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-075,BK,7/20/22,6,T,7,5.123,5.123,4.829,"yes, MAS altered",KR,MAS,224,268,279,271.0,12.28,258.7,320,300,395.7,324.7,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-076,BK,7/20/22,,,,,,,,KR,MAS,267,319,331,458.8,23.59,435.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-077,BK,7/20/22,,,,,,,,KR,MAS,241,287,299,371.2,22.45,348.8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-078,BK,7/20/22,,,,,,,,KR,MAS,213,257,268,222.1,11.20,210.9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-079,BK,7/20/22,,,,,,,,KR,MAS,266,318,332,452.7,20.45,432.3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-080,BK,8/3/22,7,T,8,5.803,5.803,5.344,"yes, MAS altered",KR,MAS,272,326,339,537.3,21.44,515.9,365,335,598.8,455.5,143.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-081,BK,8/3/22,,,,,,,"don't use, poor structure",KR,MAS,252,300,313,434.0,11.05,423.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-082,BK,8/3/22,6,O,6,4.784,4.784,4.371,"yes, MAS altered",KR,MAS,272,325,339,541.2,39.45,501.8,297,269,314.6,232.1,82.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-083,BK,8/3/22,6,T,7,5.364,5.364,4.956,"yes, MAS altered",KR,MAS,294,354,365,613.7,19.05,594.7,336,309,461.2,354.2,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-084,BK,8/3/22,6,O,6,5.151,5.064,4.655,"yes, MAS altered",KR,MAS,248,296,308,349.3,10.25,339.1,316,288,380.7,287.0,93.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
